author,body,datalegacylang
OlliesMom47,@RepKeithSelf   @SecRubio   @DAGToddBlanche   @USAttyPirro   @FBIDirectorKash   @POTUS    Islam and Sharia are one and the same.    #MassDeportationsNow,en
astronomy89,The thing that NEVER happens keeps happening.    Over and over and over.     #MassDeportationsNOW,en
HillBilly_Baby,😆 I knew what he would look like before I even read it.  Typical. #scammer #deport #MassDeportationsNow,en
gijoe_abn,@BostonGlobe #MassDeportationsNow was on the ballot and won. Pick up the pace. And the worst of the worst arrests are documented daily:  https://t.co/UmtHDAPRYX,en
MonBreeden,"""🔥🔥Vance is 100% right:  the number of illegal immigrants voting in U.S. elections                \""Should Be Zero!”  #AmericanCitizensOnly   #MassDeportationsNow""",en
WhiteCanada22,Another Singh stabbing which mass deportations would\'ve stopped.  #MassDeportationsNow https://t.co/jaFrxDAHh6,en
LucyBibb,They are all still here. #MassDeportationsNow,en
LifeInHerYet,Not for long.    #MassDeportationsNow,en
restormernufc,Muslims are the face of modern Britain. Just remember that phrase next time you’re getting up at the crack of dawn\‚ to go to work to pay for said Muslims #stoptheboats #MassDeportationsNow,en
DreamingDavey,@sarbjitkaur1 You are all criminals and don’t belong here you dirty illegal bitch! 🖕🏼🇨🇦 #FuckCanada #MassDeportationsNow 🖕🏼🖕🏼🖕🏼🇨🇦🇨🇦🇨🇦 https://t.co/Jqdmh04jQx,en
UranusHasRings,It’s time to confront the muslim plague 👇 #OutlawIslam   #MassDeportationsNow   #MuslimsAreCunts,en
BubbeCelisa,Time for the Trump administration to hunt these monsters down!  @POTUS  @SecretService @FBIDirectorKash  @DHSgov  @AGPamBondi  @ICEgov     #MassDeportationsNow @usedgov,en
AnnHilton22,The Irish are done.   #EnoughIsEnough  #CloseTheBorder  #MassDeportationsNow,en
ChildofGOD1008,Get these illegal criminals out of our country 😤 #MassDeportationsNow!!,en
Solon_Prime,@silkiecarlo @JuliaHB1 The Jews are part of Western civilization. Somali Islamists are not. In fact\‚ they are an enemy of the West and its liberal traditions.  The West is beginning to realize we have let Jihadis in to destroy us in our home.  #MassDeportationsNow,en
WhiteCanada22,"""One day after we have won\‚ people will say to us \""you can\'t deport that man\‚ he was born here\"" to which we will reply \""we don\'t care.\""    #MassDeportationsNow https://t.co/NYaCfMHAkb""",en
BubbeCelisa,This Islamofascist Marxist is a traitor.   @POTUS @SecRubio  @FBIDirectorKash   #MassDeportationsNow,en
gijoe_abn,@theintercept The FBI has over 37\‚000 personnel. Monsters are being taken off the streets as documented daily despite continuous obstruction. #MassDeportationsNow  https://t.co/ef4Y1971sF,en
iFindNazisOnX,@Sneddon4Peter @Ostrov_A If it was just Brussels\‚ it could have been manageable\‚ but it’s far behind just Brussels … Malmo in Sweden\‚ Marseille in France\‚ Blackburn &amp; Luton in the UK and the thing is\‚ THEY ARE NOT HIDING THEIR PLAN\‚ THEY SAY IT LOUD AND CLEAR  #MassDeportationsNOW  https://t.co/yhXMQslVY7,en
iFindNazisOnX,@doctor_rahmeh @Majstar7 He’s here against our will\‚ for the purpose of enforcing #ShariaForUK on the “disbelievers” while enjoying our tax money and social benefits.    Both him and you\‚ should be deported.    #MakeBritainBritishAgain  #MassDeportationsNOW https://t.co/dGvlafDwYo,en
MonicaB927,@Timcast @DNC @TheDemocrats @ananavarro @GoldbergWhoppi @DanaBashCNN @maddow our rents and housing prices will fall once they\'re all gone.  #MassDeportationsNow,en
MakhanSingb1nz,@ABDanielleSmith Should be discussing about mass deportations #MassDeportationsNow,en
DreamingDavey,Saw one of their awful kin do this exact thing in a Kent garden section but I didn’t pull out my phone and record bc the child was near fully naked and for obv reasons… Canada is a SICK Shit hole! Like the geese\‚ these ppl are parasites to our nation. #MassDeportationsNow,en
DreamingDavey,@itsrosesm Another Fuentes incident 😂 deport them all who hate our kind. #MassDeportationsNow https://t.co/y53BASjEKU,en
DreamingDavey,The worst ppl from the worst places all fresh off the boat I tell every single one of them I see on a daily basis they don’t belong here and get the fuck out! #FuckAllCADGovt #MassDeportationsNow #OverThrow 🖕🏼🇨🇦,en
DreamingDavey,If you support Islam\‚ diversity and hate Israel\‚ you are the problem. Idc what your rational is\‚ you are undoubtably\‚ unequivocally\‚ and undeniably evil fucking scum under our boots and will be dealt with come our new world order! ✊🏼#51stStates #Trump2028 #MassDeportationsNow https://t.co/MlmlyyKOAC,en
DreamingDavey,100% #MassDeportationsNow only the lunatic leftists would be unhappy 😂,en
DreamingDavey,#MassDeportationsNow they took all the jobs\‚ they gave employers alternative hiring practices often illegal\‚ they continue to ruin our land\‚ harm our people and never learn or assimilate. Fuck these immigrants 🖕🏼learn our way of life or GO BACK to wastelands you crawled out from. https://t.co/7C8nZsjeGv,en
gijoe_abn,@BostonGlobe Advocates could best use their resources by helping TPS\'ers and illegals self-deport. #MassDeportationsNow is not going away. The gravy train is ending.,en
