author,body,datalegacylang
DreamingDavey,@RealDeanCain Fucking retards man.. #51stStates ❤️🇺🇸 trade citizens! I’d LOVE to be ICE in the USA! They always need more ICE! #MassDeportationsNow https://t.co/xhpdSQjDF1,en
DreamingDavey,Nigara falls? 😂🖕🏼#MassDeportationsNow,en
DreamingDavey,@nickgrenier My friends say yes\‚ I say fuck no! #51stStates unless they were BORN here and fully assimilated they all need to go back! 🖕🏼🇨🇦#MassDeportationsNow https://t.co/ED22JNcl1F,en
DreamingDavey,@nettermike How is the USA letting all these terrorist REPS in its country?! #USADoBetter #MassDeportationsNow https://t.co/12dXonoY4R,en
gijoe_abn,@washingtonpost Milions of illegals are draining resources and many committing horrific crimes documented daily. Programs assisting illegals to self deport will help them and benefit Americans. Eliminate all incentives to stay. #MassDeportationsNow is not going away.,en
KentuckyW0man,We do not need another Government ID. We need #massdeportationsnow,en
KentuckyW0man,YOU are on notice to do #MassDeportationsNOw. That is what we voted for not an election bill. Read the Constitution and find where its the Federal Gov. duty/right to do this,en
MonicaB927,@EricHolder @DNC @TheDemocrats have seats they shouldn’t due to their illegals.  #MassDeportationsNow @StephenM,en
MonicaB927,@POTUS @VP that’s why they’re incompatible with the west.  #MassDeportationsNow @ananavarro @GoldbergWhoppi @DanaBashCNN @kaitlancollins @maddow @KatyTurNBC,en
MonicaB927,These are who @AliMayorkas @KamalaHarris @JoeBiden @BarackObama let in.  @RepMariaSalazar @RepMikeLawler #MassDeportationsNow @ananavarro @GoldbergWhoppi,en
MonicaB927,@POTUS is trying to save our country.  We voted for him 3 times to do it.  #MassDeportationsNow,en
