author,body,datalegacylang
eAnKt8fTsTThYG3,@MonaO0624 #boycottchina https://t.co/6AR50ItULc,qme
NamiKim_DogsSK,"""Our support against the heinous #DogMeatTrade in #China\n\nSharing from .@WeAreNotFood\n\n➡️https://t.co/6TeJs432q9\n\n❗#BOYCOTTCHINA UNTIL IT PUTS AN END TO THIS HELL❗\n\n\""The old woman turned away and wept bitterly after selling the dog (to the meat trade). \nWords fail me... \nWas she https://t.co/tvksMEi8v6""",en
NickLoconteJr,"When social media is used to torture animals for cheap praise &amp; profit, that's when you know humans are unworthy of their dominion over the animal kingdom. We should be caretakers of this world, not conquerers &amp; abusers. 😡#AnimalCruelty #BoycottChina",en
nimernight38961,"#China\n#MadeInChina\n#BoycottChina\nThe daily suffer from Cats and Kittens are captured on Camera, sold for Profit and pleasure. \nWe demand Animal protection laws in China❗❗❗❗❗",en
IrisMay8552,@CarlaCo92330391 @True8bebe4 #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
Lailabeke,#BoycottChina \nEvil,en
gloriabaettig,@NamiKim_DogsSK @WeAreNotFood Ya Basta 🙄 con esto #DogMeatTrade\n#BOYCOTTCHINA \nTerminen con este Infierno‼️,es
RueRarue2025,#中国に動物虐待禁止法の制定を求める 🐶😿\n#China #BoycottChina 🇨🇳,qme
eAnKt8fTsTThYG3,@bl0nkie #boycottchina https://t.co/8T4bNqkmko,qme
JuanyManuela1,@Samesamaalways @PhaedraXTeddy #BoycottChina,qme
SerdarOzdemir99,"@AmbassadeChine Ce sont les Japonais qui ont violé les grands-mères chinoises, pas les chats !\n\n#XiJinping #BoycottChina",fr
Luxsparrow0,"@Christi80931811 @PhaedraXTeddy In Cina ci sono migliaia e migliaia di mostri come questo.. \nRestano impuniti, nessuna legge del governo cinese punisce i maltrattamenti contro animali! \nÈ vergognoso, incivile!! \n#BoycottChina",it
Luxsparrow0,@PhaedraXTeddy Odio la Cina😡😡😡\nPaese di vigliacchi 😡😡😡\nPaese di psicopatici 😡😡😡\n#BoycottChina,it
eAnKt8fTsTThYG3,@Luxsparrow0 #boycottchina https://t.co/8Vc40sBmQO,qme
IrisMay8552,@lovemimisan2 #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
IrisMay8552,@PhaedraXTeddy #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
IrisMay8552,@ICzj8ZOyzuY7SLr @True8bebe4 #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
KarenBloor2,@Samesamaalways Evil country #BoycottChina,en
IrisMay8552,@ICzj8ZOyzuY7SLr #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
IrisMay8552,@RueRarue2025 @oZvcXoRBxXimfRc #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
IrisMay8552,@SARASA432691 @pipichannoyume #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
No_More_China,So much safety in China. \n#BoycottChina,en
No_More_China,#BoycottChina,qht
1Springhead,@USA_China_Talk @MFA_China @USAmbChina\n@XHNews @PDChina @ChinaDaily @SCMPNews\n@Echinanews @ChineseWSJ @ChineseEmbinUS @BBCWorld @bbcchinese #Chinese #BoycottChina #China #FUCKChina #FilthyChina #AnimalAbuse #animalcruelty #MENTALLYILL,qme
ModaBella15,@PhaedraXTeddy Shame on #China unable to educate its population #BoycottChina https://t.co/h2sytjXdua,en
ModaBella15,@RueRarue2025 Shame on #China #BoycottChina unable to educate its own population https://t.co/UlYeebxU2F,en
ModaBella15,@PhaedraXTeddy Shame on #China #BoycottChina https://t.co/1olvvvvC6f,en
AndrewS78169455,This is why we must #BoycottChina .\nNo excuse.,en
RueRarue2025,#中国に動物虐待禁止法の制定を求める 🐶😿\n#China #BoycottChina 🇨🇳,qme
Luxsparrow0,@PhaedraXTeddy Shame China\n#BoycottChina,en
NotSlaver,@Samesamaalways https://t.co/0sBenJVGqB\nLet's denounce what is happening in China and what the animals are suffering. \n@EU_Commission #StopAbuseDogs #BoycottChina #ChinaCruelMind,en
Luxsparrow0,@disobbedisco114 @Henry22059650 @eAnKt8fTsTThYG3 Shame CHINA\nShame CHINA\nShame CHINA\n#BoycottChina,en
eAnKt8fTsTThYG3,@m__nmnn_ #boycottchina https://t.co/TFfncpVAF4,qme
eAnKt8fTsTThYG3,@m__nmnn_ #boycottchina https://t.co/NkP7n8h0kz,qme
eAnKt8fTsTThYG3,@m__nmnn_ #boycottchina https://t.co/CzoNvG7h8y,qme
Rosenrot2026,@LisaJones37798 @animals_cn #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina https://t.co/Re6adNabJJ,qme
Rosenrot2026,@True8bebe4 #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina\n@PETA\n@HSIGlobal\n@fourpawsint\n@AnimalsAsia\n@amnesty\n@hrw\n@whyyoutouzhele,qme
nadia_ghadban,@animals_cn #boycottchina,qme
DominaDivineNC,"Poor, poor dogs. #BoycottChina",en
alexsitou,@benjaminhaddad #BoycottChina,qme
coroas_diaz,"""@animals_cn \""LA GRANDEZA DE UNA NACIÓN PUEDE SER JUZGADA POR EL MODO EN QUE TRATA A SUS ANIMALES\""\nMahatma Gandhi #BoycottChina #SadisticCHINA #PutridCHINA #CHINAKILLERS Los países que aceptan el maltrato animal",creencias
No_More_China,Don’t buy anything from the supermarket that’s made in China. #BoycottChina,en
wh0isbanshee,"@yibokjp DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
bbshdjjj,จะไม่ไหวละอยากให้แท็กแมสมาก #boycottchina,th
SerdarOzdemir99,"@ChinainVan You Chinese can eat anything. That's why you'll never starve to death.\nIf you get really hungry, you can eat your own feces and survive.\n\n#XiJinping #BoycottChina",en
RadioCarne,NO COMPRES BASURA #MADEINCHINA\n#BOYCOTTCHINA,es
JuanyManuela1,#BoycottChina,qht
JuanyManuela1,@SharX1433703 @SpokespersonCHN #BoycottChina,qme
NickLoconteJr,Fugly fat glob of shit 🤬  #AnimalCruelty #BoycottChina #StopChinaCatTorture,en
RASPrive,#BoycottChina unreal horrors of live organ removal from young healthy people is actually happening - no anesthesia,en
