author,body,datalegacylang
ModaBella15,@PhaedraXTeddy Shame on #China #BoycottChina https://t.co/1olvvvvC6f,en
AndrewS78169455,This is why we must #BoycottChina .\nNo excuse.,en
Luxsparrow0,@PhaedraXTeddy Shame China\n#BoycottChina,en
NotSlaver,@Samesamaalways https://t.co/0sBenJVGqB\nLet's denounce what is happening in China and what the animals are suffering. \n@EU_Commission #StopAbuseDogs #BoycottChina #ChinaCruelMind,en
Luxsparrow0,@disobbedisco114 @Henry22059650 @eAnKt8fTsTThYG3 Shame CHINA\nShame CHINA\nShame CHINA\n#BoycottChina,en
DominaDivineNC,"Poor, poor dogs. #BoycottChina",en
No_More_China,Don’t buy anything from the supermarket that’s made in China. #BoycottChina,en
wh0isbanshee,"@yibokjp DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
SerdarOzdemir99,"@ChinainVan You Chinese can eat anything. That's why you'll never starve to death.\nIf you get really hungry, you can eat your own feces and survive.\n\n#XiJinping #BoycottChina",en
NickLoconteJr,Fugly fat glob of shit 🤬  #AnimalCruelty #BoycottChina #StopChinaCatTorture,en
RASPrive,#BoycottChina unreal horrors of live organ removal from young healthy people is actually happening - no anesthesia,en
AndrewS78169455,This is why we must #BoycottChina .\nNo excuse.,en
AndrewS78169455,This is why we must #BoycottChina .\nNo excuse.,en
QAyine,@Samesamaalways #BoycottChina I hate this hell and their demons,en
Marcemgffvg,"A country where animal cruelty is applauded and supported, while citizens who protest against cruelty are treated as criminals. Is that the policy of the Chinese government? They talk about wanting friendship with our countries, while they promote cruelty #BoycottChina #Sociedad",en
Kangarooei,"@jetaime244 Not just dogs, China has no animal welfare laws, they eat nearly every species and are cruel to animals. They love to torture animals and #BoycottChina.",en
NamiKim_DogsSK,"""Our support against the heinous #DogMeatTrade in #China\n\nSharing from .@WeAreNotFood\n\n➡️https://t.co/HWtXwd4YE2\n\n❗#BOYCOTTCHINA UNTIL IT PUTS AN END TO THIS HELL❗\n\n\""Cruel activities in southern China \nThis is what the volunteers say \nVolunteers discovered and reported a dog https://t.co/PDYbybxmdf""",en
Kangarooei,Un evolved disgusting country. #BoycottChina. 🤬😡🤬😡☠️,en
IrisMay8552,@HgPZKypleR61580 @kurotamami @oZvcXoRBxXimfRc #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
