author,body,datalegacylang
pmvonhaan,@Ryandally08 @burkylie12 Ban Islam. Bondi was obligatory Islamic behaviour. Jihad within the Abode of War - Australia. #banislam,en
cryttyr,Believe them when they molest your kids. #BanIslam millions must go,en
cryttyr,@NiohBerg @RussellandOzzie Remember: they're just Muslim men doing Muslim men things. #BanIslam,en
Defcon1_Mom,This letter is hilarious and highlights the absurdity of Muslims in America…hell every country they have invaded #banislam #banvisas #banbirthrightcitezenship\n\nhttps://t.co/7U3lsjQVYw,en
RealKahunaJack,@paramourdonkey @RepKeithSelf @HUDgov @TheJusticeDept BURROWS AND THE REST OF THE RINO SCUMBAGS IN OUR STATE HOUSE &amp; SENATE ARE THE PROBLEM. THE MUSLIMS &amp; HINDUS GAVE A TOTAL OF OVER 19 MILLION DOLLARS TO ABBOTT &amp; STATE LEGISLATORS FOR THEIR CAMPAIGN WAR CHESTS! CORNYN SUPPORTS ILLEGALS &amp; THE TERRORIST ISLAMIC FILTH! #BanIslam https://t.co/ec4b8CZCoE,en
RealKahunaJack,"@RepKeithSelf @HUDgov @TheJusticeDept These weak, candy assed, milquetoast Mayors &amp; City Council Members that have already allowed the cities of Frisco, Denton, Wiley, Plano, Lubbock, Houston &amp; San Antonio to fall to these radical Islamic Jihadist TERRORISTS are the problem. WE NEED @ICEgov to clean house! #BanIslam https://t.co/jhkQGZgEE5",en
FarahRoseOFS,Id I CAN'T teach Gregorian chant in public school- HOW is this allowed? #banislam #bankoran #noshariaforamerica,en
GrumpsNort57879,Wet wipe cnut. #DeportThemAll #BanIslam,en
reid4904,@MatrixMysteries Where's the separation of #Church&amp;State  at @SupremeCourt !!\nSee the #two-faced approach  @MarcoRubio !!\n@StateDept  this is why you #banislam!!\nStart paying #Attention  @DHS !!,en
DoIt1745,@ACTBrigitte @thewriterme @ImMeme0 #BanIslam 🚫\n\nAbsolutely incompatible. \n\nThey must ALL be denaturalized and deported. No visas. No entry. No return.,en
cryttyr,"@realRick_AUS 2030 Every human: Can't believe I wasn't Islamophobic, #BanIslam",en
cryttyr,@SeanyBoyy89 @GBNEWS Believe them when they tell you. #BanIslam,en
cryttyr,@meishato Muslim boys doing Muslim boy things become Muslim men who do Muslim men things. #BanIslam,en
cryttyr,Believe them when they rape you. #BanIslam,en
yidsahhh,@implausibleblog Shouldn’t keep calling it antisemitism it’s called Islamic attacks they won’t stop at Jews ffs 🤬🤬🤬 #BanIslam,en
BertfromEng,"@RoverMcKenny @JuliaHB1 Oh do fuck off you nonce. He's killed two people, he has not fucking rights you moron. #banislam",en
pmvonhaan,@QBCCIntegrity Did it look at Islam? Ban Islam. #banislam,en
NorthEastLion,Amazing woman who isn't afraid to speak the truth. #BanIslam,en
johnsopinionok,@GAZAWOOD1 Perverts on Patrol - Muslim Men are raving paedophiles who can’t control their tempers or their sexual urges so innocent women are accosted. #banislam,en
cryttyr,Believe them when they tell you. #BanIslam,en
