author,body
BudsRepublic,#KingBob will take #ParentsRights away so the Teachers Unions have control over Indoctrinating Children into Communist Ideology https://t.co/NwyHQPJHHe
JuliewithPALs,"Happening now. A Mom is fighting for custody of her 17 year old son because the State of Oklahoma thinks it should dictate his medical needs. This is not the Oklahoma a grew up in. Please pray for Preston and his Mom, Dayna. ✝️ #parentsrights\n@GabeGwoolley @KendalforOK https://t.co/KhNf1EtSH8"
about_our_India,Delhi CM Rekha Gupta ends forced school purchases; parents are now free to buy books anywhere. 📚 #DelhiNews #EducationReform #ParentsRights https://t.co/YwlW7lPTya
Saltytattoomom,"If a school knows walkouts are planned, allows students to leave campus, and calls it “student rights”—who’s responsible when a child gets hurt?\n\n#ICEWalkouts #PlanoISD #ParentsRights #SchoolAccountability #ProtectKids https://t.co/qgYBFhRBMQ"
JuliewithPALs,"Drove over an hour to support the Mooney family this morning. Pulling into the Canadian County Children’s Justice Center, and this is the first thing people see: a sign with a rainbow on a brain. #parentsrights \n@ROPEreport @JakeMerrick4Gov https://t.co/idyPZmbfiX"
DamonGaldoNJ,A growing wave of mothers are running for school boards and state offices because they want a say in their child's education. Parents should have the right to opt out of curriculum if they want to. #ParentsRights #EducationMatters https://t.co/QmP8xV4PO7
surenderlakra3,"आज मुंडका वार्ड में श्री राम ग्लोबल स्कूल के अभिभावकों को प्राइवेट स्कूलों की मनमानी फीस बढ़ोतरी पर जागरूक किया।\nइस दौरान विधानसभा अध्यक्ष, वार्ड अध्यक्ष व संगठन के साथी मौजूद रहे।\n\n#Mundka #NoFeeHike #ParentsRights #Education https://t.co/OB2bCQJ9DI"
GoLionsTigers,"Education should empower, not control. \n\nParents know best what their kids need, not bureaucrats. \n\nLet's fight for educational freedom! \n\n#ParentsRights #EducationReform"
surenderlakra3,Parents और AAP साथ - साथ!\nBJP सरकार की नाकामी से फ़ीस लूट और शिक्षा संकट बढ़ता जा रहा है।\n\n#BJPFailed #ParentsRights #StopFeeLoot https://t.co/I3OplPXLFQ
MzLinnK,So much for #ParentsRights
BBIC0N,"Freedom from indoctrination! Stop CRT, gender confusion, and 'don't say gay' nonsense in schools. Protect the kids from woke madness. #AntiWoke #ParentsRights #MAGA https://t.co/tvwEMqXWqX"
fight4newjersey,NJ schools belong to non-profit organization with ZERO oversight? Parents are forced to foot the bill for a system they can’t oversee! How wild is that? 🧐 Demand transparency and accountability. #NJSchools #ParentsRights #StopTheGrift https://t.co/mts9H1KiRd
GoLionsTigers,The rise of ESAs is a game changer for education. Parents should have the power to choose what's best for their kids instead of being stuck in failing schools. \n\n#EducationReform #ParentsRights
Julie4TX,Parents know which type of education is best for their child.🇺🇲🦅 #ParentsRights #ParentEmpowerment
CMH_Law,Can Florida parents record conversations with teachers? \n#FloridaLaw #ConsentMatters #ParentsRights #TeacherEthics #KnowYourRights #LegalAdvice #TwoPartyConsent #EducationLaw #StayInformed #schoolseason #viralvideo #elementaryschool #middleschool #newstudent #teachers https://t.co/Ygsh3d6VKR
Saltytattoomom,So much for “we won’t allow walkouts.”\nFunny how reality keeps contradicting the statements.\n\n#PlanoISD #ICEWalkouts #ParentsRights https://t.co/0xiYmJ8uby
Julie4TX,One of many HUGE Wins last week! Promise made. Promise kept.🇺🇸🦅 #ParentsRights https://t.co/eyvAThtGfC
RealFreedomTalk,It's about to get real. Stay tuned.\n\n@thesamsorbo @the_MOMArmy  @weareDADArmy @ALEXNEWMAN_JOU  @EagleEdMartin \n\n#ParentsRights #WeaponizationAgainstParents #JusticeForParents https://t.co/SWkGfTCkp0
TruthNEd,“Schools are now run by professional bureaucrats. Monopoly and uniformity have replaced competition and diversity. Consumers of schooling have little to say.”\n— Milton Friedman\nThis is exactly why public education is failing our kids.\nDo you agree?\nTag a parent.\n#ParentsRights https://t.co/eGkFRRmZi1
BertaProudDad,"Parents should raise kids, not politicians or activist groups.\n\nDanielle Smith is putting parents back in charge where they belong.\n\nThat is how it should be.\n\n#Alberta #ParentsRights #ProtectKids https://t.co/sl6rFNSVtC"
SandraS98407198,"Our schools have replaced academic standards with woke ideology. We must empower parents, fund students instead of bureaucracies, and ban any curriculum that teaches kids to hate their country. Take back our schools!#ParentsRights#StopTheIndoctrination# EducationNotAgitation"
TPAFaithNevada,Victory for parental rights! 🙌 The Supreme Court upholds parents' freedom to opt kids out of school lessons conflicting with faith. TPAction Faith Coalition of NV stands for family values! #ReligiousFreedom #ParentsRights https://t.co/LT5HxEDcoW https://t.co/pJnzedVSk3
