author,body,datalegacylang
JacquesMonasch,Hoe is het om dagelijks in bed te liggen met iemand die terrorisme verheerlijkt? Vraag het aan de burgemeester van #Newyork #Mamdani #hamasterrorists,nl
Ahura_Shirazi,@MSAlmalik @Irannerin @PahlaviReza @PahlaviComms @Maryam_Rajavi @Maryam_Rajavi_P #MEKterrorrist #IRGCterrorists #hamasterrorists https://t.co/mNkTncrAxw,qme
dankogaion,#HamasTerrorists,qht
sabionda2022,😠😡🤬 #hamasterrorists,qme
HoundDog1999242,"""Where are the people who say \""Free Palestine\""? #HamasTerrorists""",en
AmanteCiud5885,@Keir_Starmer @MayorofLondon = #HamasTerrorists #EvilBastards #jihadists #DeportThemAll #Londonhasfallen #taqiyya #predators #somalipirates #cowards\nhttps://t.co/3pH5ZUIEeM,und
brit_downunder,@PolitlcsUK @JeffJohanson4 The cabbages are useful idiots for #HamasTerrorists,en
InquiringFinds,We wiped out 48 LEADERS OF GLOBAL TERRORISM!\n#Iran #TrumpDoctrine #HamasTerrorists #HezbollahTerrorists #HoutiTerrorists #AbrahamAccords #Oct7 #BoardOfPeace #ArsenalOfFreedom #HamasCaucus #MAGAMajority #SaveAmerica #2026Election\n\nhttps://t.co/3BQZWMqFWl,en
brit_downunder,https://t.co/SGS37R0YHm\nThe useful idiots for #HamasTerrorists have too much influence! #HamasAreTerrorists #HezbollahTerrorists #IsraelFightsTerror #Israelunderattack #BondiBeachTerrorAttack #Antisemitism #WokeMindVirus,en
EboshiJasmine,@jnbarrot @ALLMEP @francediplo @gouvernementFR @franceonu @EmmanuelMacron @SebLecornu La présidence du brassage du vent. \nEt on négocie donc avec #HamasTerrorists????\nIl n'y a même pas d'unité palestinienne.\nLa demagogie. \nVirement 2027. https://t.co/dW5nUKb0Ss,fr
avesta70,Deport them!\n#Hamasterrorists\n#RezaPahlaviForIran\n#ThankYouBibi \n#ThankYouPresidentTrump,en
eShon100,"@WearThePeaceCo Every  piece of sheeet tell push his nose to my country 🇮🇱 . Hypocrites racist, trend followers.  Fvk them #israel @IDF #HamasTerrorists https://t.co/accKhLQbot",en
MRavindra2021,"There are no civilians and #HamasTerrorists seperately.\nThey all are entity including women, kids and old age people in #Gaza",en
margav64,Hamas y su mensaje 😱😱😱\nY pensar que hay gente que los defiende!!\n#HamasTerrorists  https://t.co/8UOg5Ebtx9,es
MilaGriebel,"The 'open air prison' has always had a problem with obesity ,not bad for a staving population and a made up genoside #HamasTerrorists",en
Dancingdog2003,"In memory of the hundreds of beautiful, peaceful souls murdered by #HamasTerrorists in the #October7Massacre at the NOVA Music Festival in Reim, Israel… Forever in our hearts 💔🕯️.\nTheir beloved memories will forever be for blessings 🙏🏼😞🤍🕯️ https://t.co/gsRsesiQCX",en
YektaaHoney,Today I learned that the same western domestic terrorists who were having wet dreams about #HamasTerrorists ‘s hostage taking diplomacy —- are now simping for this water buffalo looking mf &amp; sexualizing him 🤢🤢🤮🤮🤮🤮\n\nStrange. Isn’t it? https://t.co/JP4YQkqBZD,en
DirkLc120,"Le #HamasTerrorists constitue une menace à la fois pour les #Palestiniens, pour #Israël et pour la paix au Moyen-Orient. Qu’une certaine gauche autoproclamée bien-pensante continue à défendre ces criminels de guerre témoigne d’un aveuglement profond, nourri par un antisémitisme",fr
AmanteCiud5885,@splcenter = #fakenews #EvilBastards #HamasTerrorists #TrumpDerangementSyndrome #fraudsters #somalipirates #criminals #antifathugs #jailAntifa #antifaterrorists \nhttps://t.co/Lb4CpTV5w1,und
SuzanQuitaz,The so-called Islamic Resistance Movement - who tens of thousands of Muslim immigrants in the West and their Woke far-left lunatics been marching in support for them since #October7Massacre \n\n#HamasTerrorists\n#FreeGazaFromHamas,en
AmanteCiud5885,@ACTBrigitte #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #criminals #predators,qme
EboshiJasmine,@HillelNeuer @Guardian giving a platform to @FranceskAlbs on the day of Holocauste remebrance is beyond shame.\n#HamasTerrorists,en
AmanteCiud5885,@NYCMayor = #commieMandani #taqiyya #HamasTerrorists #jihadists #criminals #predators #somalipirates #incompetentgovernment #libtards #usefulIdiots #antifathugs #jailAntifa #antifaterrorists \nhttps://t.co/htdo8UfOVo,und
brit_downunder,"https://t.co/Vuj62CuHZz iran has broken the ceasefire, but the useful idiots for #HamasTerrorists will find a way to blame Israel or #Trump! #HamasAreTerrorists #HezbollahTerrorists #IsraelFightsTerror #Israelunderattack #BondiBeachTerrorAttack #Antisemitism #WokeMindVirus",en
LauraELBailey75,"@HeidiBachram This is why I left my faith in disgust!\nI was a Methodist, came from a family of Methodists and even trainedas a Lay Preacher\nThey refused to pray for the victims of the Nova massacre &amp; then started siding with #HamasTerrorists &amp; demonising Israel &amp; Jews\nI am now without a church",en
sportbikeguy00,#hamasterrorists,qht
w0tn0t2201,@CraigMX2024 @KobieThatcher JoshLees &amp; @MehreenFaruqi should be on the #HamasTerrorists flotilla - they're gutless loudmouthed cowards,en
Dwarcelone1,@GEvanlagen Tsjaa.... volgensceen recent rapport van de @AIVD worden dit soort PalliePijpende volidioten demonstraties gesponsord door de PR-Afdeling van #HamasTerrorists. \nVerder is er niets aan de hand hoor 🤷‍♂️ https://t.co/Mz9BTjzdeo,nl
AmanteCiud5885,@GadSaad #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #criminals #predators,qme
AmanteCiud5885,@GadSaad @NYCMayor = #commieMandani #taqiyya #HamasTerrorists #fraudsters #somalipirates #criminals #antifathugs #jailAntifa #antifaterrorists #DeportThemAll #criminals #predators,und
AmanteCiud5885,@amuse #parishasfallen #Europehasfallen #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #criminals #predators #somalipirates,qme
AmanteCiud5885,@YossiBenYakar @LizaRosen0000 #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #criminals #predators #somalipirates,qme
EboshiJasmine,@NaseemHaffar @EylonALevy We are fed up with the false narrative of #HamasTerrorists.\nI am not Jewish and I  will always defend them.\nWhy in 2000 Arafat refused camp David 2? \nBecause Palestinians are not looking for a peaceful resolution. https://t.co/Cx15OyAiJc,en
