category,definition,example
Hate Speech,"Broader category within speech radicalization. Refers to offensive discourse targeting a group or an individual based on inherent characteristics (such as race, religion or gender) and that may threaten social peace. Hate speech is any kind of communication that attacks or uses pejorative or discriminatory language with reference to a person or group on the basis of who they are.","""GROUP are a bunch of psychopaths""
""GROUP are stupid""
""GROUP are pests""
""The religion of GROUP is too radical"" "
Dangerous Speech,"Any form of communication that can increase the risk that its audience will condone or commit violence against members of another group. Promotes fear by villainizing another group, such that violence against them seems defensive and justifiable. It uses tactics of dehumanization, mirror accusations (the party which is using terror will accuse the enemy of using terror), threats to group integrity or purity, assertions of attack against women or children, and it questions group loyalty if the speech is not being enacted by the very members of the group.","""GROUP is a threat to our society""
""GROUP corrupts women and children""
""GROUP are monsters""
""GROUP are barbaric and a danger to humanity"""
Extreme Speech,"Hostilities that build structures of exclusion and prepare for violence. Focuses on normalizing violence, exclusion and hostility via humor. Frivolizes violent and exclusionary actions. Emphasizes ""us vs them"" ideology. ","""Nuke them all""
""GROUP destroys everything they touch""
""Can't believe GROUP can vote""
""GROUP dresses like clowns""
""GROUP had this coming"""
Enraged Speech,"Exaltation, both positive and negative, of qualities and actions of a political figure or leader. Polarizes public conversation and emphasizes absolutism. Catalyst for other forms of radicalization and exclusion of those who are different.","""POLITICAL_FIGURE will save us"" 
""POLITICAL_FIGURE is useless""
""The law is clear""
""POLITICAL_FIGURE is failing society"""
Hate Grammar,"Hate as a disciplinary and normative force against ""uncivilized"" or ""unregulated"" groups to ""put them back into order"". Hate Grammar expresses a desire to eliminate others, ensuring groups stay in place. It conveys a fantasy to cleanse public space and hide away members of disident communities.  ","""GROUP should not be allowed on the streets""
""GROUP should be eliminated""
""GROUP is out of control""
""GROUP must be cleansed by God"""
Horror Grammar,Normalization of death and State cruelty. Series of media strategies that desensitize the public to barbarism. Forms in which systematically pejorative and exclusionary discursive formulations become entrenched or normalized. ,"""The STATE response towards GROUP is so entertaining""
""STATE should take more strong measures towards GROUP""
""STATE is only doing their job""
 ""STATE should protect us from GROUP"""
